year,km_driven,mileage,engine,max_power,torque,max_torque_rpm,name,fuel,seller_type,transmission,owner,seats,selling_price
2014,145500,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,450000
2014,120000,21.14,1498,103.52,250.0,2500.0,Skoda,Diesel,Individual,Manual,Second Owner,5,370000
2010,127000,23.0,1396,90.0,219.66895999999997,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,225000
2007,120000,16.1,1298,88.2,11.5,4500.0,Maruti,Petrol,Individual,Manual,First Owner,5,130000
2017,45000,20.14,1197,81.86,113.75,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,440000
2007,175000,9.342,1061,57.5,7.8,4500.0,Maruti,LPG,Individual,Manual,First Owner,5,96000
2001,5000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,Second Owner,4,45000
2011,90000,23.59,1364,67.1,170.0,2400.0,Toyota,Diesel,Individual,Manual,First Owner,5,350000
2013,169000,20.0,1399,68.1,160.0,2000.0,Ford,Diesel,Individual,Manual,First Owner,5,200000
2014,68000,19.01,1461,108.45,248.0,2250.0,Renault,Diesel,Individual,Manual,Second Owner,5,500000
2005,100000,17.3,993,60.0,78.0,4500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,92000
2009,140000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,280000
2007,80000,19.3,1248,81.86,153.0,2800.0,Maruti,Petrol,Individual,Manual,Second Owner,5,200000
2009,90000,18.9,1061,67.0,84.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,180000
2016,40000,18.15,1198,82.0,115.0,3600.0,Mahindra,Petrol,Individual,Manual,First Owner,5,400000
2012,53000,23.0,1396,90.0,219.66895999999997,2750.0,Hyundai,Diesel,Individual,Manual,Second Owner,5,500000
2002,80000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,150000
2016,100000,22.54,1396,88.73,219.7,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,680000
2011,100000,21.0,1461,64.1,160.0,2000.0,Mahindra,Diesel,Individual,Manual,Second Owner,5,174000
2017,50000,25.5,1498,98.6,200.0,1750.0,Honda,Diesel,Individual,Manual,First Owner,5,950000
2015,40000,26.59,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,525000
2012,72000,21.5,1248,88.8,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,600000
2016,45000,21.4,1197,83.1,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,575000
2017,28000,24.7,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,275000
2013,70000,18.2,1248,73.8,172.5,1750.0,Chevrolet,Diesel,Individual,Manual,First Owner,7,300000
2009,120000,18.9,1061,67.0,84.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,220000
2018,25000,16.8,796,34.2,59.0,2500.0,Maruti,Petrol,Individual,Manual,First Owner,8,254999
2017,70000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,670000
2003,50000,19.3,1248,81.86,153.0,2800.0,Fiat,Petrol,Individual,Manual,Second Owner,5,70000
2012,35000,14.0,796,35.0,59.820564999999995,3000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,150000
2017,16200,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,650000
2019,10000,5.6848,796,40.3,60.0,3500.0,Maruti,CNG,Individual,Manual,Second Owner,4,330000
2019,15000,23.95,998,67.1,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,366000
2019,5000,17.0,1591,121.3,151.0,4850.0,Hyundai,Petrol,Individual,Manual,First Owner,5,1149000
2016,42000,20.63,1198,67.0,104.0,4000.0,Datsun,Petrol,Individual,Manual,First Owner,5,150000
2011,60000,13.93,2179,138.03,320.0,2700.0,Tata,Diesel,Individual,Manual,Second Owner,7,425000
2012,76000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,First Owner,4,150000
2019,5000,16.0,1368,160.77,250.0,2500.0,Jeep,Petrol,Individual,Automatic,First Owner,5,2100000
2018,28900,17.8,1497,117.3,145.0,4600.0,Honda,Petrol,Dealer,Manual,First Owner,5,925000
2013,86300,16.8,1497,116.3,146.0,4800.0,Honda,Petrol,Dealer,Manual,First Owner,5,425000
2018,32600,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Dealer,Manual,First Owner,5,819999
2018,10300,23.95,998,67.05,90.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,390000
2014,77000,12.55,2982,168.5,343.0,3400.0,Toyota,Diesel,Dealer,Manual,First Owner,7,1500000
2013,99000,12.99,2494,100.0,200.0,3400.0,Toyota,Diesel,Dealer,Manual,First Owner,7,700000
2014,27800,14.8,2143,120.7,200.0,4000.0,Mercedes-Benz,Diesel,Dealer,Automatic,Second Owner,5,1450000
2015,49800,24.7,1498,98.63,200.0,1750.0,Honda,Diesel,Dealer,Manual,First Owner,5,425000
2013,151000,13.5,2477,175.56,400.0,2500.0,Mitsubishi,Diesel,Dealer,Manual,First Owner,7,1090000
2015,54700,26.0,1498,98.6,200.0,1750.0,Honda,Diesel,Dealer,Manual,First Owner,5,600000
2015,63000,27.3,1498,98.6,200.0,1750.0,Honda,Diesel,Dealer,Manual,First Owner,5,525000
2016,127700,11.36,2755,171.5,360.0,3400.0,Toyota,Diesel,Dealer,Automatic,Second Owner,7,1650000
2016,99000,12.99,2494,100.6,200.0,3600.0,Toyota,Diesel,Dealer,Manual,First Owner,7,950000
2013,33900,17.68,1968,174.33,380.0,2500.0,Audi,Diesel,Dealer,Automatic,Second Owner,5,1750000
2013,50000,18.53,1968,187.74,400.0,3000.0,Audi,Diesel,Dealer,Automatic,First Owner,5,1689999
2013,59000,14.84,2143,170.0,400.0,2800.0,Mercedes-Benz,Diesel,Dealer,Automatic,First Owner,5,1425000
2011,120000,21.12,1248,88.8,200.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,265000
2011,110000,20.36,1197,78.9,111.7,4000.0,Hyundai,Petrol,Individual,Manual,Third Owner,5,190000
2013,60000,21.27,1396,88.76,219.6,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,425000
2015,147000,26.59,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,630000
2017,25000,18.16,1196,86.8,112.0,4000.0,Ford,Petrol,Individual,Manual,Third Owner,5,600000
2019,30000,21.4,1197,83.1,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,650000
2016,40000,22.0,1498,108.495,250.0,3000.0,Volkswagen,Diesel,Individual,Manual,First Owner,5,540000
2015,135000,25.1,1498,98.6,200.0,1750.0,Honda,Diesel,Individual,Manual,First Owner,5,630000
2018,30000,20.51,998,67.0,90.0,3500.0,Maruti,Petrol,Individual,Automatic,First Owner,5,448000
2017,80000,21.66,1498,108.62,250.0,3000.0,Volkswagen,Diesel,Individual,Manual,First Owner,5,500000
2019,9850,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Automatic,First Owner,5,1025000
2016,70000,25.2,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,630000
2015,78000,12.55,2982,168.5,343.0,3400.0,Toyota,Diesel,Individual,Manual,Second Owner,7,1700000
2013,120000,22.9,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,450000
2012,120000,16.02,1373,93.7,130.0,4000.0,Maruti,Petrol,Individual,Manual,Second Owner,7,450000
2003,70000,19.3,1248,81.86,153.0,2800.0,Tata,Diesel,Individual,Manual,First Owner,5,50000
2013,170000,20.54,1598,103.6,250.0,2500.0,Volkswagen,Diesel,Individual,Manual,First Owner,5,450000
2016,140000,12.99,2494,100.6,200.0,3600.0,Toyota,Diesel,Individual,Manual,First Owner,8,1200000
2015,90000,22.77,1498,98.59,205.0,3250.0,Ford,Diesel,Individual,Manual,First Owner,5,610000
2016,30000,15.71,1998,189.0,280.0,4600.0,BMW,Petrol,Individual,Automatic,Second Owner,5,2500000
2017,10000,23.1,998,67.04,90.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,484999
2016,49000,19.02,1198,67.05,104.0,4000.0,Datsun,Petrol,Dealer,Manual,First Owner,5,275000
2016,32000,24.7,796,47.3,69.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,315000
2016,38000,24.7,796,47.3,69.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,275000
2015,78000,19.3,1248,81.86,153.0,2800.0,Maruti,Diesel,Dealer,Manual,First Owner,5,475000
2012,28000,19.81,1086,68.05,99.04,4500.0,Hyundai,Petrol,Dealer,Manual,First Owner,5,290000
2017,32000,14.0,796,35.0,59.820564999999995,3000.0,Maruti,Petrol,Dealer,Manual,First Owner,5,280000
2010,44000,14.148,998,58.2,77.0,3500.0,Maruti,LPG,Dealer,Manual,First Owner,5,225000
2015,42000,16.47,1198,74.0,110.0,3750.0,Volkswagen,Petrol,Dealer,Manual,First Owner,5,455000
2015,45000,19.81,1086,68.05,99.04,4500.0,Hyundai,Petrol,Dealer,Manual,Second Owner,5,351000
2012,12000,15.04,1598,103.6,153.0,3800.0,Volkswagen,Petrol,Dealer,Manual,Second Owner,5,535000
2009,55500,18.2,998,67.1,90.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,175000
2013,61500,18.5,1197,82.85,113.7,4000.0,Hyundai,Petrol,Dealer,Manual,First Owner,5,525000
2016,150000,26.59,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,600000
2016,72000,19.1,1197,82.0,114.0,4000.0,Hyundai,Petrol,Dealer,Automatic,First Owner,5,565000
2008,68000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Dealer,Manual,Third Owner,5,120000
2017,110000,22.54,1396,88.73,219.7,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,725000
2009,77000,21.79,998,67.05,90.0,3500.0,Maruti,Petrol,Dealer,Manual,Second Owner,5,185000
2010,100000,18.8,1248,90.0,200.0,3000.0,Tata,Diesel,Individual,Manual,Second Owner,5,200000
2019,10000,21.21,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,615000
2018,35000,21.4,1197,83.1,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,610000
2014,70000,11.79,2179,120.0,290.0,2800.0,Mahindra,Diesel,Individual,Automatic,Second Owner,8,625000
2020,5000,19.0,1194,94.68,120.0,4250.0,Ford,Petrol,Individual,Manual,Second Owner,5,400000
2017,37800,17.0,1591,121.3,151.0,4850.0,Hyundai,Petrol,Individual,Manual,First Owner,5,866000
2010,114000,14.3,1798,160.0,250.0,1500.0,Volkswagen,Petrol,Individual,Manual,First Owner,5,700000
2019,32000,15.1,2179,155.0,360.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,1700000
2016,100000,19.09,1405,69.01,135.0,2500.0,Tata,Diesel,Individual,Manual,First Owner,5,375000
2013,150000,22.32,1582,126.32,259.8,2750.0,Hyundai,Diesel,Individual,Manual,Second Owner,5,522000
2013,69000,21.9,1396,88.76,219.6,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,451999
2009,100000,14.53,1798,138.1,173.0,4000.0,Toyota,Petrol,Individual,Manual,Second Owner,5,300000
2020,13000,21.63,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,475000
2016,60000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,780000
2017,40000,20.85,1197,83.14,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,595000
2010,120000,19.3,1248,81.86,153.0,2800.0,Maruti,Diesel,Individual,Manual,Second Owner,5,300000
2014,70000,20.45,1461,83.8,200.0,1900.0,Nissan,Diesel,Individual,Manual,Third Owner,5,400000
2016,50000,19.67,1582,126.2,259.9,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,1140000
2012,175000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,Fourth & Above Owner,5,370000
2018,25000,23.01,999,67.0,91.0,4250.0,Renault,Petrol,Individual,Manual,First Owner,5,350000
2015,40000,23.1,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,Second Owner,5,360000
2008,65000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,5,105000
2009,80000,17.92,1086,62.1,96.1,3000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,135000
2015,110000,20.77,1248,88.76,200.0,1750.0,Maruti,Diesel,Individual,Manual,Second Owner,7,700000
2019,1303,17.8,1198,86.7,109.0,4500.0,Honda,Petrol,Dealer,Manual,First Owner,5,690000
2018,31800,17.01,1968,188.0,400.0,3000.0,Audi,Diesel,Dealer,Automatic,First Owner,5,3975000
2019,20000,22.37,2487,214.56,202.0,5200.0,Lexus,Petrol,Dealer,Automatic,First Owner,5,5150000
2017,45000,19.33,1999,177.0,430.0,2500.0,Jaguar,Diesel,Dealer,Automatic,First Owner,5,3200000
2019,21000,12.83,1999,148.31,382.0,2250.0,Land,Diesel,Dealer,Automatic,First Owner,7,4500000
2017,37000,13.5,2987,254.79,620.0,2400.0,Mercedes-Benz,Diesel,Dealer,Automatic,First Owner,5,6000000
2018,29500,22.48,1995,187.74,400.0,2500.0,BMW,Diesel,Dealer,Automatic,First Owner,5,3790000
2017,27000,19.3,1248,81.86,153.0,2800.0,BMW,Diesel,Dealer,Automatic,First Owner,5,2150000
2019,7500,16.78,1995,190.0,400.0,2500.0,BMW,Diesel,Dealer,Automatic,First Owner,5,5800000
2018,50000,14.67,1798,177.46,250.0,5000.0,Skoda,Petrol,Dealer,Automatic,First Owner,5,1864999
2016,35000,15.0,2143,204.0,500.0,1800.0,Mercedes-Benz,Diesel,Dealer,Automatic,First Owner,5,2700000
2019,19000,13.96,1451,141.0,250.0,3600.0,MG,Petrol,Dealer,Automatic,First Owner,5,1750000
2013,39000,14.28,1798,138.03,173.0,4000.0,Toyota,Petrol,Dealer,Automatic,First Owner,5,625000
2018,22000,18.0,1969,190.0,400.0,2800.0,Volvo,Diesel,Dealer,Automatic,First Owner,5,3400000
2015,53000,12.07,2967,241.4,550.0,2750.0,Audi,Diesel,Dealer,Automatic,First Owner,7,2650000
2015,40000,26.21,1248,88.5,200.0,1750.0,Maruti,Diesel,Dealer,Manual,First Owner,5,535000
2017,47000,13.5,2987,282.0,490.0,1600.0,Mercedes-Benz,Diesel,Dealer,Automatic,First Owner,5,5850000
2010,72200,10.8,2497,150.0,250.0,2750.0,BMW,Petrol,Dealer,Automatic,Second Owner,5,975000
2017,9000,13.6,1999,177.0,430.0,2500.0,Jaguar,Diesel,Dealer,Automatic,First Owner,5,2625000
2018,11000,17.0,1198,108.5,170.0,4000.0,Tata,Petrol,Dealer,Manual,First Owner,5,811000
2011,49000,15.04,1598,103.6,153.0,3800.0,Volkswagen,Petrol,Individual,Manual,First Owner,5,375000
2012,95000,16.3,1797,147.5,177.5,4700.0,Hyundai,Petrol,Individual,Manual,First Owner,5,550000
2016,11000,14.3,1598,103.5,153.0,3800.0,Skoda,Petrol,Dealer,Automatic,First Owner,5,645000
2018,18000,15.04,1991,183.0,300.0,4000.0,Mercedes-Benz,Petrol,Dealer,Automatic,First Owner,5,2550000
2017,16000,14.74,1991,181.04,300.0,1400.0,Mercedes-Benz,Petrol,Dealer,Automatic,First Owner,5,2700000
2017,18000,15.6,1497,116.3,146.0,4800.0,Honda,Petrol,Dealer,Automatic,First Owner,5,875000
2019,9654,19.56,1197,81.8,113.0,4200.0,Toyota,Petrol,Dealer,Automatic,First Owner,5,894999
2011,11000,23.95,998,67.05,90.0,3500.0,Maruti,Petrol,Dealer,Manual,First Owner,5,175000
2012,24300,21.21,1197,81.8,113.0,4200.0,Maruti,Petrol,Dealer,Manual,First Owner,5,340000
2018,8000,21.5,1497,108.5,260.0,2750.0,Tata,Diesel,Dealer,Automatic,First Owner,5,1025000
2016,30000,22.69,1995,190.0,400.0,2500.0,BMW,Diesel,Dealer,Automatic,First Owner,5,2150000
2016,41000,19.16,2494,157.7,213.0,4500.0,Toyota,Petrol,Dealer,Automatic,First Owner,5,1900000
2016,12000,18.12,1995,190.0,400.0,2500.0,BMW,Diesel,Dealer,Automatic,First Owner,5,2900000
2009,71000,12.1,2362,164.7,224.0,4000.0,Toyota,Petrol,Dealer,Automatic,First Owner,5,450000
2016,20000,17.5,1373,91.1,130.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,7,850000
2017,30000,42.0,1969,400.0,640.0,1740.0,Volvo,Petrol,Individual,Automatic,First Owner,4,10000000
2018,9500,18.16,1196,86.8,112.0,4000.0,Ford,Petrol,Individual,Manual,First Owner,5,575000
2011,120000,20.0,1399,68.0,160.0,2000.0,Ford,Diesel,Individual,Manual,First Owner,5,160000
2015,36600,20.4,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,515000
2015,50000,20.51,998,67.0,90.0,3500.0,Maruti,Petrol,Individual,Automatic,Second Owner,5,390000
2016,14000,18.6,1197,81.83,114.7,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,550000
1999,40000,16.1,796,37.0,59.0,2500.0,Maruti,Petrol,Individual,Manual,Second Owner,4,40000
2010,120000,21.1,1248,73.9,113.0,4500.0,Maruti,Diesel,Individual,Manual,First Owner,5,220000
2015,70000,18.9,1197,82.0,114.0,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,425000
2019,13000,19.44,999,75.0,95.0,4300.0,Volkswagen,Petrol,Individual,Manual,First Owner,5,480000
2014,35000,19.1,1197,85.8,114.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,487000
2016,44000,19.1,1197,82.0,114.0,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,386000
2005,120000,13.0,1493,100.0,128.46711499999998,4600.0,Honda,Petrol,Individual,Manual,Second Owner,5,100000
2010,60000,21.43,1364,87.2,205.0,2800.0,Toyota,Diesel,Individual,Manual,First Owner,5,300000
2000,60000,18.5,796,53.0,71.0,3500.0,Daewoo,Petrol,Individual,Manual,First Owner,5,100000
2014,30000,13.0,2982,168.5,343.0,3400.0,Toyota,Diesel,Individual,Manual,Second Owner,7,1750000
2016,15000,18.15,1198,82.0,115.0,3600.0,Mahindra,Petrol,Individual,Manual,Second Owner,6,450000
2017,90000,22.95,1248,74.0,190.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,490000
2009,47000,17.0,1497,118.0,146.0,4800.0,Honda,Petrol,Individual,Manual,Second Owner,5,345000
2005,90000,17.3,993,60.0,78.0,4500.0,Maruti,Petrol,Individual,Manual,First Owner,5,85000
2005,86000,15.3,1341,83.0,115.0,3200.0,Hyundai,Petrol,Individual,Manual,First Owner,5,65000
2017,37000,28.09,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,800000
2019,14000,20.3,1199,84.0,114.0,3500.0,Tata,Petrol,Individual,Manual,First Owner,5,520000
